"Date","Price","Open","High","Low","Vol.","Change %"
"02/27/2025","5,861.57","5,981.88","5,993.69","5,858.78","","-1.59%"
"02/26/2025","5,956.06","5,970.87","6,009.82","5,932.69","","0.01%"
"02/25/2025","5,955.25","5,982.73","5,992.65","5,908.49","","-0.47%"
"02/24/2025","5,983.25","6,026.69","6,043.65","5,977.83","","-0.50%"
"02/21/2025","6,013.13","6,114.10","6,114.82","6,008.56","","-1.71%"
"02/20/2025","6,117.52","6,134.50","6,134.50","6,084.59","","-0.43%"
"02/19/2025","6,144.15","6,117.76","6,147.43","6,111.15","","0.24%"
"02/18/2025","6,129.58","6,121.60","6,129.63","6,099.51","","0.24%"
"02/14/2025","6,114.63","6,115.52","6,127.47","6,107.62","","-0.01%"
"02/13/2025","6,115.07","6,060.59","6,116.91","6,050.95","","1.04%"
"02/12/2025","6,051.97","6,025.08","6,063.00","6,003.00","","-0.27%"
"02/11/2025","6,068.50","6,049.32","6,076.28","6,042.34","","0.03%"
"02/10/2025","6,066.44","6,046.40","6,073.38","6,044.84","","0.67%"
"02/07/2025","6,025.99","6,083.13","6,101.28","6,019.96","","-0.95%"
"02/06/2025","6,083.57","6,072.22","6,084.03","6,046.83","","0.36%"
"02/05/2025","6,061.48","6,020.45","6,062.86","6,007.06","","0.39%"
"02/04/2025","6,037.88","5,998.14","6,042.48","5,990.87","","0.72%"
"02/03/2025","5,994.57","5,969.65","6,022.13","5,923.93","","-0.76%"
"01/31/2025","6,040.53","6,096.79","6,120.91","6,030.93","","-0.50%"
"01/30/2025","6,071.17","6,050.75","6,086.64","6,027.46","","0.53%"
"01/29/2025","6,039.31","6,057.70","6,062.83","6,012.96","","-0.47%"
"01/28/2025","6,067.70","6,026.97","6,074.54","5,994.63","","0.92%"